Group	Workflow	State
ESCA	TCGA_Paradigm_Median	NA
ESCA	TCGA_Paradigm_Median_Five3	NA
DLBC	TCGA_Paradigm_Median	Ready
DLBC	TCGA_Paradigm_Median_Five3	Error
READ	TCGA_Paradigm_Median	Error
READ	TCGA_Paradigm_Median_Five3	Error
GBM	TCGA_Paradigm_Median	Error
GBM	TCGA_Paradigm_Median_Five3	Error
BLCA	TCGA_Paradigm_Median	Error
BLCA	TCGA_Paradigm_Median_Five3	Error
UCEC	TCGA_Paradigm_Median	Error
UCEC	TCGA_Paradigm_Median_Five3	Error
THCA	TCGA_Paradigm_Median	Pending
THCA	TCGA_Paradigm_Median_Five3	Error
CESC	TCGA_Paradigm_Median	Error
CESC	TCGA_Paradigm_Median_Five3	Error
UCS	TCGA_Paradigm_Median	Ready
UCS	TCGA_Paradigm_Median_Five3	Error
LIHC	TCGA_Paradigm_Median	Ready
LIHC	TCGA_Paradigm_Median_Five3	Error
HNSC	TCGA_Paradigm_Median	Pending
HNSC	TCGA_Paradigm_Median_Five3	Error
STAD	TCGA_Paradigm_Median	NA
STAD	TCGA_Paradigm_Median_Five3	NA
SKCM	TCGA_Paradigm_Median	Error
SKCM	TCGA_Paradigm_Median_Five3	Error
COAD	TCGA_Paradigm_Median	Pending
COAD	TCGA_Paradigm_Median_Five3	Error
ACC	TCGA_Paradigm_Median	Ready
ACC	TCGA_Paradigm_Median_Five3	Error
LUAD	TCGA_Paradigm_Median	NA
LUAD	TCGA_Paradigm_Median_Five3	NA
LUSC	TCGA_Paradigm_Median	Pending
LUSC	TCGA_Paradigm_Median_Five3	Error
KIRC	TCGA_Paradigm_Median	Error
KIRC	TCGA_Paradigm_Median_Five3	Error
SARC	TCGA_Paradigm_Median	Ready
SARC	TCGA_Paradigm_Median_Five3	Error
KIRP	TCGA_Paradigm_Median	Error
KIRP	TCGA_Paradigm_Median_Five3	Error
LGG	TCGA_Paradigm_Median	NA
LGG	TCGA_Paradigm_Median_Five3	NA
LAML	TCGA_Paradigm_Median	Ready
LAML	TCGA_Paradigm_Median_Five3	Error
PRAD	TCGA_Paradigm_Median	Error
PRAD	TCGA_Paradigm_Median_Five3	Error
PAAD	TCGA_Paradigm_Median	Ready
PAAD	TCGA_Paradigm_Median_Five3	Error
BRCA	TCGA_Paradigm_Median	Pending
BRCA	TCGA_Paradigm_Median_Five3	Error
OV	TCGA_Paradigm_Median	Ready
OV	TCGA_Paradigm_Median_Five3	Error
KICH	TCGA_Paradigm_Median	Ready
KICH	TCGA_Paradigm_Median_Five3	Error
